ph,calcium_mol_m3,inorganic_carbon_mol_m3,alpha_co2,alpha_hco3,alpha_co3,calcite_saturation
8.0,0.01632934121627178,639.1548550818165,0.02059162234668289,0.974295203739238,0.00511317391407925,16.103155878780214
8.0,0.01632934121627178,1034.059401551527,0.02059162234668289,0.974295203739238,0.00511317391407925,26.052559248683004
8.0,0.01632934121627178,1672.957402162304,0.02059162234668289,0.974295203739238,0.00511317391407925,42.1492438199977
8.0,0.01632934121627178,2706.601250615082,0.02059162234668289,0.974295203739238,0.00511317391407925,68.19133343636568
8.0,0.01632934121627178,4378.886348428621,0.02059162234668289,0.974295203739238,0.00511317391407925,110.3236389171799
8.0,0.01632934121627178,7084.399908592763,0.02059162234668289,0.974295203739238,0.00511317391407925,178.48756858943406
8.0,0.01632934121627178,11461.526532397798,0.02059162234668289,0.974295203739238,0.00511317391407925,288.7668722102582
8.0,0.01632934121627178,18543.079463021615,0.02059162234668289,0.974295203739238,0.00511317391407925,467.1827127518602
8.0,0.01632934121627178,30000.0,0.02059162234668289,0.974295203739238,0.00511317391407925,755.8335394347692
8.0,0.026664738455743225,0.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.026664738455743225,0.01,0.02059162234668289,0.974295203739238,0.00511317391407925,0.00041127032815517397
8.0,0.026664738455743225,0.01617854254457877,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0006653754501381354
8.0,0.026664738455743225,0.026174523886674537,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0010764805028178075
8.0,0.026664738455743225,0.04234656482846575,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0017415885613247457
8.0,0.026664738455743225,0.06851057006940962,0.02059162234668289,0.974295203739238,0.00511317391407925,0.002817636463454413
8.0,0.026664738455743225,0.11084011726212886,0.02059162234668289,0.974295203739238,0.00511317391407925,0.004558525139915368
8.0,0.026664738455743225,0.17932315527714526,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0073750292916652735
8.0,0.026664738455743225,0.29011872968794,0.02059162234668289,0.974295203739238,0.00511317391407925,0.011931722516272128
8.0,0.026664738455743225,0.4693698211235485,0.02059162234668289,0.974295203739238,0.00511317391407925,0.01930378803596171
8.0,0.026664738455743225,0.7593719620188658,0.02059162234668289,0.974295203739238,0.00511317391407925,0.031230715601133722
8.0,0.026664738455743225,1.2285531594682475,0.02059162234668289,0.974295203739238,0.00511317391407925,0.05052674610505819
8.0,0.026664738455743225,1.9876199558733711,0.02059162234668289,0.974295203739238,0.00511317391407925,0.08174491114998136
8.0,0.026664738455743225,3.2156794018551147,0.02059162234668289,0.974295203739238,0.00511317391407925,0.13225135228427864
8.0,0.026664738455743225,5.202500601263859,0.02059162234668289,0.974295203739238,0.00511317391407925,0.2139634129509277
8.0,0.026664738455743225,8.416887731574398,0.02059162234668289,0.974295203739238,0.00511317391407925,0.346161617940986
8.0,0.026664738455743225,13.617297625821951,0.02059162234668289,0.974295203739238,0.00511317391407925,0.5600390463158464
8.0,0.026664738455743225,22.030802898155194,0.02059162234668289,0.974295203739238,0.00511317391407925,0.9060615537446243
8.0,0.026664738455743225,35.64262819790331,0.02059162234668289,0.974295203739238,0.00511317391407925,1.465875539526455
8.0,0.026664738455743225,57.66457767003818,0.02059162234668289,0.974295203739238,0.00511317391407925,2.371572978128611
8.0,0.026664738455743225,93.29288231498796,0.02059162234668289,0.974295203739238,0.00511317391407925,3.8368594324227128
8.0,0.026664738455743225,150.93428656394133,0.02059162234668289,0.974295203739238,0.00511317391407925,6.207479356501921
8.0,0.026664738455743225,244.18967766103688,0.02059162234668289,0.974295203739238,0.00511317391407925,10.042796886376077
8.0,0.026664738455743225,395.0633088986062,0.02059162234668289,0.974295203739238,0.00511317391407925,16.24778166927986
8.0,0.026664738455743225,639.1548550818165,0.02059162234668289,0.974295203739238,0.00511317391407925,26.28654269914713
8.0,0.026664738455743225,1034.059401551527,0.02059162234668289,0.974295203739238,0.00511317391407925,42.52779494080392
8.0,0.026664738455743225,1672.957402162304,0.02059162234668289,0.974295203739238,0.00511317391407925,68.8037739776918
8.0,0.026664738455743225,2706.601250615082,0.02059162234668289,0.974295203739238,0.00511317391407925,111.31447845256687
8.0,0.026664738455743225,4378.886348428621,0.02059162234668289,0.974295203739238,0.00511317391407925,180.090602547245
8.0,0.026664738455743225,7084.399908592763,0.02059162234668289,0.974295203739238,0.00511317391407925,291.36034751894294
8.0,0.026664738455743225,11461.526532397798,0.02059162234668289,0.974295203739238,0.00511317391407925,471.37857781384747
8.0,0.026664738455743225,18543.079463021615,0.02059162234668289,0.974295203739238,0.00511317391407925,762.6218375764365
8.0,0.026664738455743225,30000.0,0.02059162234668289,0.974295203739238,0.00511317391407925,1233.8109844655216
8.0,0.04354176126864751,0.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.04354176126864751,0.01,0.02059162234668289,0.974295203739238,0.00511317391407925,0.000671288589746624
8.0,0.04354176126864751,0.01617854254457877,0.02059162234668289,0.974295203739238,0.00511317391407925,0.001086047100890604
8.0,0.04354176126864751,0.026174523886674537,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0017570659227175071
8.0,0.04354176126864751,0.04234656482846575,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0028426765784314756
8.0,0.04354176126864751,0.06851057006940962,0.02059162234668289,0.974295203739238,0.00511317391407925,0.004599036396463124
8.0,0.04354176126864751,0.11084011726212886,0.02059162234668289,0.974295203739238,0.00511317391407925,0.00744057060042449
8.0,0.04354176126864751,0.17932315527714526,0.02059162234668289,0.974295203739238,0.00511317391407925,0.012037758801490972
8.0,0.04354176126864751,0.29011872968794,0.02059162234668289,0.974295203739238,0.00511317391407925,0.019475339291129923
8.0,0.04354176126864751,0.4693698211235485,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0315082605291652
8.0,0.04354176126864751,0.7593719620188658,0.02059162234668289,0.974295203739238,0.00511317391407925,0.05097577334767713
8.0,0.04354176126864751,1.2285531594682475,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0824713717848199
8.0,0.04354176126864751,1.9876199558733711,0.02059162234668289,0.974295203739238,0.00511317391407925,0.1334266597130482
8.0,0.04354176126864751,3.2156794018551147,0.02059162234668289,0.974295203739238,0.00511317391407925,0.21586488907485873
8.0,0.04354176126864751,5.202500601263859,0.02059162234668289,0.974295203739238,0.00511317391407925,0.34923792917783786
8.0,0.04354176126864751,8.416887731574398,0.02059162234668289,0.974295203739238,0.00511317391407925,0.5650160695384238
8.0,0.04354176126864751,13.617297625821951,0.02059162234668289,0.974295203739238,0.00511317391407925,0.9141136519398068
8.0,0.04354176126864751,22.030802898155194,0.02059162234668289,0.974295203739238,0.00511317391407925,1.4789026608488436
8.0,0.04354176126864751,35.64262819790331,0.02059162234668289,0.974295203739238,0.00511317391407925,2.392648961783377
8.0,0.04354176126864751,57.66457767003818,0.02059162234668289,0.974295203739238,0.00511317391407925,3.870957302245458
8.0,0.04354176126864751,93.29288231498796,0.02059162234668289,0.974295203739238,0.00511317391407925,6.262644740262603
8.0,0.04354176126864751,150.93428656394133,0.02059162234668289,0.974295203739238,0.00511317391407925,10.132046437192097
8.0,0.04354176126864751,244.18967766103688,0.02059162234668289,0.974295203739238,0.00511317391407925,16.392174434776013
8.0,0.04354176126864751,395.0633088986062,0.02059162234668289,0.974295203739238,0.00511317391407925,26.520149149118023
8.0,0.04354176126864751,639.1548550818165,0.02059162234668289,0.974295203739238,0.00511317391407925,42.90573612975804
8.0,0.04354176126864751,1034.059401551527,0.02059162234668289,0.974295203739238,0.00511317391407925,69.41522773817624
8.0,0.04354176126864751,1672.957402162304,0.02059162234668289,0.974295203739238,0.00511317391407925,112.30372152037089
8.0,0.04354176126864751,2706.601250615082,0.02059162234668289,0.974295203739238,0.00511317391407925,181.69105365318472
8.0,0.04354176126864751,4378.886348428621,0.02059162234668289,0.974295203739238,0.00511317391407925,293.94964414973924
8.0,0.04354176126864751,7084.399908592763,0.02059162234668289,0.974295203739238,0.00511317391407925,475.5676823840346
8.0,0.04354176126864751,11461.526532397798,0.02059162234668289,0.974295203739238,0.00511317391407925,769.3991982276831
8.0,0.04354176126864751,18543.079463021615,0.02059162234668289,0.974295203739238,0.00511317391407925,1244.7757662291365
8.0,0.04354176126864751,30000.0,0.02059162234668289,0.974295203739238,0.00511317391407925,2013.8657692398715
8.0,0.07110082769131916,0.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.07110082769131916,0.01,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0010955679355673796
8.0,0.07110082769131916,0.01617854254457877,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0017724692456053185
8.0,0.07110082769131916,0.026174523886674537,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0028675969098983086
8.0,0.07110082769131916,0.04234656482846575,0.02059162234668289,0.974295203739238,0.00511317391407925,0.004639353860749242
8.0,0.07110082769131916,0.06851057006940962,0.02059162234668289,0.974295203739238,0.00511317391407925,0.00750579838154874
8.0,0.07110082769131916,0.11084011726212886,0.02059162234668289,0.974295203739238,0.00511317391407925,0.012143287844691679
8.0,0.07110082769131916,0.17932315527714526,0.02059162234668289,0.974295203739238,0.00511317391407925,0.019646069902641068
8.0,0.07110082769131916,0.29011872968794,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0317844777753647
8.0,0.07110082769131916,0.4693698211235485,0.02059162234668289,0.974295203739238,0.00511317391407925,0.051422652594595636
8.0,0.07110082769131916,0.7593719620188658,0.02059162234668289,0.974295203739238,0.00511317391407925,0.08319435727567594
8.0,0.07110082769131916,1.2285531594682475,0.02059162234668289,0.974295203739238,0.00511317391407925,0.13459634486534094
8.0,0.07110082769131916,1.9876199558733711,0.02059162234668289,0.974295203739238,0.00511317391407925,0.2177572691748715
8.0,0.07110082769131916,3.2156794018551147,0.02059162234668289,0.974295203739238,0.00511317391407925,0.35229952437369544
8.0,0.07110082769131916,5.202500601263859,0.02059162234668289,0.974295203739238,0.00511317391407925,0.5699692843514698
8.0,0.07110082769131916,8.416887731574398,0.02059162234668289,0.974295203739238,0.00511317391407925,0.9221272315983368
8.0,0.07110082769131916,13.617297625821951,0.02059162234668289,0.974295203739238,0.00511317391407925,1.4918674647928336
8.0,0.07110082769131916,22.030802898155194,0.02059162234668289,0.974295203739238,0.00511317391407925,2.413624125002373
8.0,0.07110082769131916,35.64262819790331,0.02059162234668289,0.974295203739238,0.00511317391407925,3.9048920592972602
8.0,0.07110082769131916,57.66457767003818,0.02059162234668289,0.974295203739238,0.00511317391407925,6.317546231332853
8.0,0.07110082769131916,93.29288231498796,0.02059162234668289,0.974295203739238,0.00511317391407925,10.220869048096185
8.0,0.07110082769131916,150.93428656394133,0.02059162234668289,0.974295203739238,0.00511317391407925,16.53587647371925
8.0,0.07110082769131916,244.18967766103688,0.02059162234668289,0.974295203739238,0.00511317391407925,26.752638104196606
8.0,0.07110082769131916,395.0633088986062,0.02059162234668289,0.974295203739238,0.00511317391407925,43.281869374846394
8.0,0.07110082769131916,639.1548550818165,0.02059162234668289,0.974295203739238,0.00511317391407925,70.02375650898534
8.0,0.07110082769131916,1034.059401551527,0.02059162234668289,0.974295203739238,0.00511317391407925,113.28823238118464
8.0,0.07110082769131916,1672.957402162304,0.02059162234668289,0.974295203739238,0.00511317391407925,183.2838487379122
8.0,0.07110082769131916,2706.601250615082,0.02059162234668289,0.974295203739238,0.00511317391407925,296.52655445404537
8.0,0.07110082769131916,4378.886348428621,0.02059162234668289,0.974295203739238,0.00511317391407925,479.7367476832125
8.0,0.07110082769131916,7084.399908592763,0.02059162234668289,0.974295203739238,0.00511317391407925,776.1441382590704
8.0,0.07110082769131916,11461.526532397798,0.02059162234668289,0.974295203739238,0.00511317391407925,1255.68809615498
8.0,0.07110082769131916,18543.079463021615,0.02059162234668289,0.974295203739238,0.00511317391407925,2031.5203286364463
8.0,0.07110082769131916,30000.0,0.02059162234668289,0.974295203739238,0.00511317391407925,3286.703806702138
8.0,0.11610296761308964,0.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.11610296761308964,0.01,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0017877350444618883
8.0,0.11610296761308964,0.01617854254457877,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0028922947475261075
8.0,0.11610296761308964,0.026174523886674537,0.02059162234668289,0.974295203739238,0.00511317391407925,0.004679311362431286
8.0,0.11610296761308964,0.04234656482846575,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0075704437956425445
8.0,0.11610296761308964,0.06851057006940962,0.02059162234668289,0.974295203739238,0.00511317391407925,0.012247874702914531
8.0,0.11610296761308964,0.11084011726212886,0.02059162234668289,0.974295203739238,0.00511317391407925,0.019815276196177286
8.0,0.11610296761308964,0.17932315527714526,0.02059162234668289,0.974295203739238,0.00511317391407925,0.032058228897243336
8.0,0.11610296761308964,0.29011872968794,0.02059162234668289,0.974295203739238,0.00511317391407925,0.05186554201178959
8.0,0.11610296761308964,0.4693698211235485,0.02059162234668289,0.974295203739238,0.00511317391407925,0.08391088780353756
