capsule_calcium_lactate_mol_m3,spore_density_rel,active_density_rel,lactate_mol_m3,oxygen_mol_m3,calcium_mol_m3,inorganic_carbon_mol_m3,hydrated_carbon_mol_m3,portlandite_mol_m3,calcite_mol_m3,csh_volume_fraction,biomass_carbon_mol_m3,ammonium_mol_m3,solid_fraction,healing_ratio,aperture_mm,porosity,permeability_ratio,transmissivity_ratio,sorptivity_ratio,x_mm,time_d
61.183638946622764,0.004113458154116802,0.007250455082915921,396.38770206712155,0.16169152956558314,188.51112618475005,0.0015088796252581858,0.0015088795743115316,4999.992979581072,1.0865663303072313,0.00012891290191011727,0.08742315981318897,0.0,0.00016904244273846666,0.00016904244273846666,0.29994928726717845,0.17996957236030706,0.9994187863955721,0.9994929583929963,0.9997093509593536,2.0,7.0
745.3693119611565,0.08859730270665542,0.03860341217728784,663.4028572248892,0.08417467213528519,315.2983161088372,0.0006065086291519092,0.0006065085231536687,4999.9924318594885,1.1841101177642592,0.0015704806489768993,0.09767835577192595,0.0,0.0016142127194365523,0.0016142127194365523,0.29951573618416905,0.1797094417105014,0.9944602969378196,0.995165174683675,0.9972263017679686,4.0,7.0
3340.513498907529,0.44031051986271635,0.12576473094014579,925.4672871007509,0.031192948987701904,439.80299388695937,0.0002714755795740897,0.0002714755059959837,4999.99292771405,1.1110148095855636,0.007038405959962265,0.09243416962644811,0.0,0.007079438442672785,0.007079438442672785,0.29787616846719817,0.1787257010803189,0.9758762600297931,0.9789116852075003,0.9878644947713189,6.0,7.0
5507.5757443820985,0.7398325780585197,0.19260311050021287,1146.239807142161,0.014066224111867746,545.9241984380353,0.0001465908404730045,0.00014659079176705856,4999.994070539795,0.9317379765395806,0.011604369794308601,0.07767940521376053,0.0,0.011638781146959569,0.011638781146959569,0.2965083656559121,0.17790501939354728,0.9605739405856485,0.9654884636353115,0.9800887411789039,8.0,7.0
3340.5340236057327,0.4452565773351426,0.12048014764268701,1293.7293424060404,0.016788870570682773,619.3777858535827,0.00013372821548348978,0.00013372816633423838,4999.9951990652235,0.7539334815775766,0.007038449205157409,0.06289976904152934,0.0,0.007066293804780031,0.007066293804780031,0.29788011185856594,0.17872806711513958,0.9759206406533629,0.9789505632722932,0.9878869574264876,10.0,7.0
747.2168977655333,0.09469050646388252,0.03221954812913675,1401.8718080581457,0.031004816954702932,675.0355422915158,0.0001168054725013453,0.00011680542852501848,4999.996469473513,0.5493596835399428,0.0015743734813038232,0.04564517481838449,0.0,0.0015946626723409058,0.0015946626723409058,0.29952160119829774,0.17971296071897863,0.994527250553581,0.9952236367749472,0.9972598711236611,12.0,7.0
122.36727789324553,0.01384378566216159,0.007207101507472399,1512.3317313780467,0.03630388997984441,731.2673193491934,6.560279894724857e-05,6.560277412213286e-05,4999.997493820108,0.3707754940060077,0.00025782580382023454,0.03054502477931373,0.0,0.00027151944580954446,0.00027151944580954446,0.29991854416625713,0.17995112649975428,0.9990665668714293,0.9991856628109826,0.9995331744726782,14.0,7.0
747.2168977656031,0.09589340298068343,0.030894818966646982,1637.368575618022,0.023959095404011758,793.486660425645,7.514671035326685e-05,7.514668183240082e-05,4999.997294593041,0.4196496877012481,0.0015743734813039672,0.03512420586581952,0.0,0.0015898721662958438,0.0015898721662958438,0.29952303835011124,0.17971382301006675,0.9945436572578568,0.9952379625629185,0.9972680969818781,16.0,7.0
3340.534023731837,0.44961956388500895,0.11581070700131316,1770.167254002725,0.010097913191961079,858.7005207003755,6.709480357412661e-05,6.709477809476451e-05,4999.997249408939,0.4316147376636321,0.007038449205423131,0.03642967624511776,0.0,0.007054389788850093,0.007054389788850093,0.29788368306334495,0.17873020983800697,0.9759608338416861,0.9789857728217457,0.9879073002269424,18.0,7.0
5507.575828262335,0.7478592915563629,0.18406224308540461,1873.9670537914844,0.004857706100924413,910.6624444089464,4.711736972032535e-05,4.711735182498017e-05,4999.997502017024,0.3922973348931356,0.011604369971042946,0.0332229058612196,0.0,0.011618858467031033,0.011618858467031033,0.29651434245989067,0.1779086054759344,0.9606404102998772,0.9655468496939685,0.9801226506411722,20.0,7.0
3340.534023731837,0.45083214576669894,0.11451155025899262,1917.2073060308128,0.005937760207830246,935.365911357847,4.534359880445369e-05,4.534358158189278e-05,4999.997824942458,0.3411408701403185,0.007038449205423131,0.028954330166205515,0.0,0.007051048368580197,0.007051048368580197,0.2978846854894259,0.17873081129365556,0.975972116168999,0.9789956561845798,0.9879130104260188,22.0,7.0
747.2168977656031,0.0973960628882921,0.029243784456694632,1933.802702306868,0.010262178519645483,947.7565149179395,3.223207918919673e-05,3.223206694655961e-05,4999.99828409338,0.2630471251549878,0.0015743734813039672,0.022309965477000013,0.0,0.0015840884522673158,0.0015840884522673158,0.29952477346431977,0.17971486407859188,0.9945634658100339,0.9952552586768614,0.9972780283401584,24.0,7.0
122.36727789324553,0.014953568263063563,0.005907531134377363,1964.2423294190912,0.01127449824963508,965.7512198162376,1.6165035441430645e-05,1.6165029301483845e-05,4999.998770276342,0.16791231177497135,0.0002578258038202346,0.014157275347229631,0.0,0.00026402721443181775,0.00026402721443181775,0.29992079183567044,0.17995247510140228,0.9990923149403557,0.9992081274694089,0.9995460544368907,26.0,7.0
747.2168977656031,0.09772828478294596,0.028880403380640268,2019.4605005978613,0.007658730955379246,994.2262864711332,2.058481166132503e-05,2.0584803842602644e-05,4999.998493300765,0.2297360619794094,0.0015743734813039672,0.019616334115676315,0.0,0.001582858193577667,0.001582858193577667,0.2995251425419267,0.17971508552515603,0.9945676793422612,0.9952589377736938,0.9972801408542442,28.0,7.0
3340.534023731837,0.4519517441800269,0.11331217402658464,2091.4265321515113,0.003299075479410461,1029.672739056123,2.1134112815447384e-05,2.1134104788081022e-05,4999.998359135841,0.2571668356882692,0.007038449205423131,0.022065365125901442,0.0,0.007047947002975474,0.007047947002975474,0.29788561589910734,0.17873136953946442,0.9759825880381465,0.9790048295653468,0.9879183104073669,30.0,7.0
5507.575828262335,0.7498960285227319,0.1818891879728076,2142.4159670802037,0.0016053764801304674,1055.4490211104423,1.53647527209019e-05,1.5364746884910114e-05,4999.998411119671,0.24938820284698993,0.011604369971042946,0.021444188853587152,0.0,0.011613580484740187,0.011613580484740187,0.2965159258545779,0.17790955551274676,0.9606580202571083,0.9655623179162154,0.9801316341477344,32.0,7.0
3340.534023731837,0.4522608187555311,0.11298020384845346,2140.4075583499566,0.001996445606028847,1057.4065667696877,1.4962619564300234e-05,1.4962613881050462e-05,4999.998511333411,0.23324184579343746,0.007038449205423131,0.02008890535188343,0.0,0.007047063394831155,0.007047063394831155,0.2978858809815506,0.17873152858893038,0.975985571587371,0.9790074431580412,0.9879198204243961,34.0,7.0
747.2168977656031,0.09812983605042178,0.02844016942644986,2118.7190785910593,0.0034899187337776613,1050.2777579943604,1.0651863210974903e-05,1.0651859165079112e-05,4999.9987477696295,0.1888374863884884,0.0015743734813039672,0.016274293883154895,0.0,0.0015813477095757073,0.0015813477095757073,0.2995255956871273,0.17971535741227637,0.9945728526409591,0.9952634548985947,0.9972827345547295,36.0,7.0
